duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_d[0], q_d[1], q_d[2], q_d[3], q_d[4], q_d[5], q_d[6],dq[0], dq[1], dq[2], dq[3], dq[4], dq[5], dq[6],dq_d[0], dq_d[1], dq_d[2], dq_d[3], dq_d[4], dq_d[5], dq_d[6],tau_J[0], tau_J[1], tau_J[2], tau_J[3], tau_J[4], tau_J[5], tau_J[6],tau_ext_hat_filtered[0], tau_ext_hat_filtered[1], tau_ext_hat_filtered[2], tau_ext_hat_filtered[3], tau_ext_hat_filtered[4], tau_ext_hat_filtered[5], tau_ext_hat_filtered[6]
5554806,0,-1.5706,-0.522749,-3.32764e-05,-2.09645,1.57033,1.57169,0.78507,-1.57079,-0.523598,-3.43841e-07,-2.0944,1.5708,1.5708,0.785397,-0.000727163,-0.000777461,0.000283892,-0.000855918,-0.000531172,-0.000123082,0.00156902,0,0,0,0,0,0,0,-0.303639,-10.34,-0.254453,21.416,0.971697,-0.624181,0.0651953,-0.329343,-1.14334,0.11348,2.76256,0.381407,-0.593667,0.142109
5566709,0,-1.5706,-0.522826,-2.47908e-05,-2.0964,1.57033,1.57168,0.785078,-1.57079,-0.523598,-3.43841e-07,-2.0944,1.5708,1.5708,0.785397,-0.000671252,-0.000269196,0.000120555,0.00098072,0.000417131,-5.88871e-05,0.0011003,0,0,0,0,0,0,0,-0.327442,-10.1892,-0.329831,21.2931,0.96071,-0.611364,0.0780126,-0.343535,-1.06511,0.0612536,2.79123,0.405906,-0.610684,0.147632
5566710,0,-1.5706,-0.522826,-2.47908e-05,-2.09641,1.57033,1.57168,0.785073,-1.57079,-0.523598,-3.43841e-07,-2.0944,1.5708,1.5708,0.785397,0.000202112,-0.000179464,8.03697e-05,-0.00110942,-0.000332264,-3.92581e-05,-0.000927977,0,0,0,0,0,0,0,-0.355213,-10.1892,-0.329831,21.3684,0.97719,-0.611364,0.122873,-0.343436,-1.06307,0.061542,2.79015,0.40586,-0.610693,0.147744
5566711,0,-1.5706,-0.522825,-2.47908e-05,-2.09641,1.57033,1.57168,0.785074,-1.57079,-0.523598,-3.43841e-07,-2.0944,1.5708,1.5708,0.785397,-0.00107168,0.000437169,5.35798e-05,-0.000182804,-0.00022151,0.000211187,0.000805502,0,0,0,0,0,0,0,-0.303639,-10.213,-0.329831,21.3446,0.97719,-0.617772,0.0844213,-0.343346,-1.06244,0.061753,2.79012,0.405859,-0.610716,0.147837
5566712,0,-1.5706,-0.522826,-2.47908e-05,-2.0964,1.57033,1.57168,0.785072,-1.57079,-0.523598,-3.43841e-07,-2.0944,1.5708,1.5708,0.785397,0.00049197,-0.000265366,3.57199e-05,0.00164137,5.57775e-05,-9.65677e-05,6.22837e-05,0,0,0,0,0,0,0,-0.355213,-10.1892,-0.329831,21.2693,0.971697,-0.611364,0.0972387,-0.34319,-1.06258,0.0620204,2.79038,0.405872,-0.610762,0.147915
5566713,0,-1.5706,-0.522825,-2.11716e-05,-2.09641,1.57033,1.57168,0.785073,-1.57079,-0.523598,-3.43841e-07,-2.0944,1.5708,1.5708,0.785397,0.00032798,0.000379901,0.00123024,-0.000668992,3.7185e-05,-6.43785e-05,0.000753599,0,0,0,0,0,0,0,-0.355213,-10.213,-0.381406,21.3446,0.971697,-0.611364,0.0780126,-0.343702,-1.06218,0.0612991,2.78994,0.405888,-0.610708,0.147975
5566714,0,-1.57059,-0.522826,-2.47908e-05,-2.09641,1.57033,1.57168,0.785077,-1.57079,-0.523598,-3.43841e-07,-2.0944,1.5708,1.5708,0.785397,0.000775465,-0.000303544,-0.000386266,-0.00211643,-0.000178661,-4.2919e-05,0.000739758,0,0,0,0,0,0,0,-0.379017,-10.1892,-0.329831,21.416,0.97719,-0.611364,0.071604,-0.345142,-1.06292,0.0592118,2.79054,0.405984,-0.610524,0.147996
5566715,0,-1.5706,-0.522823,-2.2842e-05,-2.09641,1.57033,1.57168,0.78507,-1.57079,-0.523598,-3.43841e-07,-2.0944,1.5708,1.5708,0.785397,-3.98352e-05,0.00100406,0.000392103,-0.000854142,0.000287794,0.000446105,-0.00215168,0,0,0,0,0,0,0,-0.355213,-10.2408,-0.357602,21.3922,0.966203,-0.624181,0.143015,-0.34661,-1.0661,0.0571255,2.79326,0.406166,-0.61036,0.147953
5566716,0,-1.5706,-0.522825,-2.64613e-05,-2.09641,1.57033,1.57168,0.785076,-1.57079,-0.523598,-3.43841e-07,-2.0944,1.5708,1.5708,0.785397,-0.000676171,1.97614e-05,-0.000945024,0.00119381,-1.15878e-05,-0.000177314,0.000498324,0,0,0,0,0,0,0,-0.327442,-10.213,-0.306028,21.3169,0.971697,-0.611364,0.09083,-0.347196,-1.07009,0.056395,2.79629,0.406328,-0.610348,0.147864
5566717,0,-1.5706,-0.522825,-2.47908e-05,-2.09641,1.57033,1.57168,0.785067,-1.57079,-0.523598,-3.43841e-07,-2.0944,1.5708,1.5708,0.785397,-0.00045078,1.31743e-05,-7.3204e-05,0.000795873,-0.000448535,-0.000355569,-0.00160056,0,0,0,0,0,0,0,-0.327442,-10.213,-0.329831,21.3169,0.983598,-0.604955,0.143015,-0.346598,-1.07199,0.0574528,2.7974,0.406368,-0.610507,0.147781
